datetime,Temperature_C,Humidity_percent,Irradiance_Wm2,Solar_Generation_kW
2006-01-01 00:00:00,12.85,81.645,92.0,0.0
2006-01-01 01:00:00,12.1,86.875,0.0,0.0
2006-01-01 02:00:00,11.8,89.31,0.0,0.0
2006-01-01 03:00:00,11.45,91.28,0.0,0.0
2006-01-01 04:00:00,11.15,92.75,0.0,0.0
2006-01-01 05:00:00,10.65,94.61500000000001,0.0,0.0
2006-01-01 06:00:00,10.2,95.82,0.0,0.0
2006-01-01 07:00:00,9.8,96.6,0.0,0.0
2006-01-01 08:00:00,9.7,95.3,0.0,204.16666666666669
2006-01-01 09:00:00,9.649999999999999,92.88,0.0,204.16666666666669
2006-01-01 10:00:00,9.75,89.565,0.0,145.83333333333334
2006-01-01 11:00:00,9.649999999999999,88.315,0.0,396.6666666666667
2006-01-01 12:00:00,9.75,87.58000000000001,0.0,127.5
2006-01-01 13:00:00,10.0,88.32,0.0,178.33333333333334
2006-01-01 14:00:00,10.5,88.3,0.0,33.333333333333336
2006-01-01 15:00:00,11.3,86.69,0.5,2.5
2006-01-01 16:00:00,12.45,84.48,12.0,0.0
2006-01-01 17:00:00,13.1,82.195,11.5,0.0
2006-01-01 18:00:00,13.45,80.92500000000001,14.5,0.0
2006-01-01 19:00:00,13.55,81.285,38.0,0.0
2006-01-01 20:00:00,13.75,82.67,32.5,0.0
2006-01-01 21:00:00,14.05,84.87,91.5,0.0
2006-01-01 22:00:00,14.7,86.785,84.0,0.0
2006-01-01 23:00:00,14.95,90.28,16.5,0.0
2006-01-02 00:00:00,14.7,92.865,9.5,0.0
2006-01-02 01:00:00,14.3,93.365,0.0,0.0
2006-01-02 02:00:00,13.5,92.695,0.0,0.0
2006-01-02 03:00:00,12.55,89.73,0.0,0.0
2006-01-02 04:00:00,12.0,89.8,0.0,0.0
2006-01-02 05:00:00,11.95,90.89,0.0,0.0
2006-01-02 06:00:00,12.0,91.0,0.0,0.0
2006-01-02 07:00:00,12.0,91.4,0.0,2.5
2006-01-02 08:00:00,12.0,91.57,0.0,105.0
2006-01-02 09:00:00,11.9,92.0,0.0,771.6666666666666
2006-01-02 10:00:00,11.850000000000001,91.8,0.0,749.1666666666666
2006-01-02 11:00:00,11.649999999999999,92.125,0.0,279.1666666666667
2006-01-02 12:00:00,11.6,91.46000000000001,0.0,420.8333333333333
2006-01-02 13:00:00,11.6,90.82,0.0,70.83333333333333
2006-01-02 14:00:00,11.7,90.01,0.0,122.5
2006-01-02 15:00:00,11.8,89.545,0.5,82.5
2006-01-02 16:00:00,12.2,88.65,8.5,1.6666666666666667
2006-01-02 17:00:00,12.8,87.47,47.0,0.0
2006-01-02 18:00:00,13.4,86.68,83.5,0.0
2006-01-02 19:00:00,13.45,85.715,79.5,0.0
2006-01-02 20:00:00,12.8,85.25,42.5,0.0
2006-01-02 21:00:00,12.15,85.565,32.0,0.0
2006-01-02 22:00:00,11.75,84.845,57.0,0.0
2006-01-02 23:00:00,11.5,84.15,34.5,0.0
2006-01-03 00:00:00,11.5,84.91,35.0,0.0
2006-01-03 01:00:00,11.5,87.015,0.0,0.0
2006-01-03 02:00:00,11.55,87.935,0.0,0.0
2006-01-03 03:00:00,11.25,88.32,0.0,0.0
2006-01-03 04:00:00,10.75,88.875,0.0,0.0
2006-01-03 05:00:00,10.100000000000001,89.97,0.0,0.0
2006-01-03 06:00:00,9.1,91.495,0.0,0.0
2006-01-03 07:00:00,8.9,89.63499999999999,0.0,0.0
2006-01-03 08:00:00,9.149999999999999,86.17,0.0,2.5
2006-01-03 09:00:00,9.25,85.715,0.0,60.83333333333333
2006-01-03 10:00:00,8.8,88.78,0.0,1044.1666666666667
2006-01-03 11:00:00,8.25,92.0,0.0,1860.0
2006-01-03 12:00:00,8.2,94.035,0.0,1306.6666666666667
2006-01-03 13:00:00,8.7,93.72,0.0,702.5
2006-01-03 14:00:00,9.35,92.86500000000001,0.0,84.16666666666667
2006-01-03 15:00:00,10.05,90.97,1.5,4.166666666666667
2006-01-03 16:00:00,11.2,89.25,23.5,0.0
2006-01-03 17:00:00,12.05,87.575,164.0,0.0
2006-01-03 18:00:00,13.2,82.83500000000001,269.0,0.0
2006-01-03 19:00:00,14.2,74.80000000000001,255.0,0.0
2006-01-03 20:00:00,14.5,71.29,154.5,0.0
2006-01-03 21:00:00,14.55,71.52000000000001,150.5,0.0
2006-01-03 22:00:00,14.3,73.86000000000001,92.5,0.0
2006-01-03 23:00:00,13.75,78.49000000000001,111.5,0.0
2006-01-04 00:00:00,13.149999999999999,83.4,22.0,0.0
2006-01-04 01:00:00,13.0,85.325,0.0,0.0
2006-01-04 02:00:00,13.0,86.58,0.0,0.0
2006-01-04 03:00:00,13.0,87.605,0.0,0.0
2006-01-04 04:00:00,13.1,87.83,0.0,0.0
2006-01-04 05:00:00,13.1,88.0,0.0,0.0
2006-01-04 06:00:00,13.05,87.955,0.0,0.0
2006-01-04 07:00:00,12.95,87.445,0.0,0.0
2006-01-04 08:00:00,12.75,86.695,0.0,200.83333333333334
2006-01-04 09:00:00,12.4,86.91,0.0,2047.4999999999998
2006-01-04 10:00:00,12.149999999999999,86.735,0.0,2900.0
2006-01-04 11:00:00,11.95,85.99000000000001,0.0,3218.3333333333335
2006-01-04 12:00:00,11.75,84.81,0.0,3021.6666666666665
2006-01-04 13:00:00,11.6,83.95,0.0,2919.166666666667
2006-01-04 14:00:00,11.55,82.92500000000001,0.0,2585.8333333333335
2006-01-04 15:00:00,11.7,79.77000000000001,1.5,1632.5
2006-01-04 16:00:00,12.8,79.37,56.5,320.83333333333337
2006-01-04 17:00:00,14.5,71.95500000000001,238.0,0.0
2006-01-04 18:00:00,16.25,65.73,396.5,0.0
2006-01-04 19:00:00,18.0,62.465,441.5,0.0
2006-01-04 20:00:00,18.9,60.005,509.5,0.0
2006-01-04 21:00:00,19.150000000000002,60.224999999999994,387.5,0.0
2006-01-04 22:00:00,18.65,63.785,391.0,0.0
2006-01-04 23:00:00,17.3,73.39,258.0,0.0
2006-01-05 00:00:00,15.1,84.89000000000001,102.5,0.0
2006-01-05 01:00:00,13.85,84.53999999999999,0.0,0.0
2006-01-05 02:00:00,13.2,83.25,0.0,0.0
2006-01-05 03:00:00,12.55,81.825,0.0,0.0
2006-01-05 04:00:00,12.05,80.575,0.0,0.0
2006-01-05 05:00:00,11.45,81.11,0.0,0.0
2006-01-05 06:00:00,10.95,81.96000000000001,0.0,0.0
2006-01-05 07:00:00,10.7,81.17,0.0,0.8333333333333334
2006-01-05 08:00:00,10.6,80.19,0.0,965.0
2006-01-05 09:00:00,10.55,80.22,0.0,2120.0
2006-01-05 10:00:00,10.8,79.595,0.0,2290.833333333333
2006-01-05 11:00:00,11.0,78.79,0.0,2946.666666666667
2006-01-05 12:00:00,11.0,78.55,0.0,3109.166666666667
2006-01-05 13:00:00,11.05,77.845,0.0,2553.333333333333
2006-01-05 14:00:00,11.2,77.43,0.0,2250.833333333333
2006-01-05 15:00:00,11.65,76.22,2.0,1385.8333333333333
2006-01-05 16:00:00,13.3,75.575,54.0,281.6666666666667
2006-01-05 17:00:00,15.100000000000001,72.985,148.0,0.0
2006-01-05 18:00:00,16.200000000000003,64.055,309.5,0.0
2006-01-05 19:00:00,17.05,61.59,418.5,0.0
2006-01-05 20:00:00,17.75,60.81,393.5,0.0
2006-01-05 21:00:00,18.0,64.23,395.5,0.0
2006-01-05 22:00:00,17.8,69.015,326.0,0.0
2006-01-05 23:00:00,16.700000000000003,81.315,221.0,0.0
2006-01-06 00:00:00,14.55,88.345,77.5,0.0
2006-01-06 01:00:00,12.899999999999999,91.68,0.0,0.0
2006-01-06 02:00:00,12.2,94.645,0.0,0.0
2006-01-06 03:00:00,11.75,95.38,0.0,0.0
2006-01-06 04:00:00,11.6,92.39,0.0,0.0
2006-01-06 05:00:00,11.55,88.225,0.0,0.0
2006-01-06 06:00:00,11.649999999999999,84.11500000000001,0.0,0.0
2006-01-06 07:00:00,11.850000000000001,80.605,0.0,0.8333333333333334
2006-01-06 08:00:00,12.2,77.20500000000001,0.0,1095.8333333333335
2006-01-06 09:00:00,12.649999999999999,72.33000000000001,0.0,2387.4999999999995
2006-01-06 10:00:00,12.95,68.25,0.0,3025.0
2006-01-06 11:00:00,13.05,65.37,0.0,3119.9999999999995
2006-01-06 12:00:00,12.95,64.34,0.0,3455.833333333333
2006-01-06 13:00:00,12.7,65.58000000000001,0.0,2985.0
2006-01-06 14:00:00,12.4,67.28999999999999,0.0,2112.5000000000005
2006-01-06 15:00:00,12.25,69.89,2.0,921.6666666666667
2006-01-06 16:00:00,13.05,79.03,70.0,108.33333333333334
2006-01-06 17:00:00,14.399999999999999,76.13499999999999,235.5,0.0
2006-01-06 18:00:00,15.600000000000001,73.51,412.5,0.0
2006-01-06 19:00:00,16.700000000000003,71.415,499.0,0.0
2006-01-06 20:00:00,17.35,66.53,527.5,0.0
2006-01-06 21:00:00,17.55,63.040000000000006,497.5,0.0
2006-01-06 22:00:00,17.3,63.74,408.5,0.0
2006-01-06 23:00:00,16.400000000000002,71.27000000000001,273.0,0.0
2006-01-07 00:00:00,14.5,79.125,111.0,0.0
2006-01-07 01:00:00,12.95,80.875,0.0,0.0
2006-01-07 02:00:00,11.899999999999999,86.905,0.0,0.0
2006-01-07 03:00:00,10.85,94.33,0.0,0.0
2006-01-07 04:00:00,10.85,97.34,0.0,0.0
2006-01-07 05:00:00,12.15,95.625,0.0,0.0
2006-01-07 06:00:00,13.05,94.545,0.0,0.0
2006-01-07 07:00:00,13.5,94.03,0.0,1.6666666666666667
2006-01-07 08:00:00,13.2,94.08500000000001,0.0,1067.5000000000002
2006-01-07 09:00:00,12.55,93.63,0.0,2329.1666666666665
2006-01-07 10:00:00,12.05,93.71000000000001,0.0,2217.5
2006-01-07 11:00:00,11.8,93.84,0.0,3143.333333333333
2006-01-07 12:00:00,11.6,94.25999999999999,0.0,3060.0
2006-01-07 13:00:00,11.25,94.745,0.0,2610.0
2006-01-07 14:00:00,11.149999999999999,94.035,0.0,2047.4999999999998
2006-01-07 15:00:00,11.649999999999999,91.435,1.5,1235.8333333333333
2006-01-07 16:00:00,13.100000000000001,89.565,112.5,224.16666666666666
2006-01-07 17:00:00,13.95,86.245,274.0,0.0
2006-01-07 18:00:00,14.899999999999999,79.14500000000001,233.0,0.0
2006-01-07 19:00:00,15.5,72.53,343.0,0.0
2006-01-07 20:00:00,15.45,71.80000000000001,392.0,0.0
2006-01-07 21:00:00,15.3,73.01,371.0,0.0
2006-01-07 22:00:00,14.85,75.255,242.5,0.0
2006-01-07 23:00:00,13.95,79.25,268.0,0.0
2006-01-08 00:00:00,12.45,86.815,108.5,0.0
2006-01-08 01:00:00,10.85,93.41,0.0,0.0
2006-01-08 02:00:00,9.95,96.175,0.0,0.0
2006-01-08 03:00:00,9.2,97.365,0.0,0.0
2006-01-08 04:00:00,8.9,96.0,0.0,0.0
2006-01-08 05:00:00,8.95,94.32,0.0,0.0
2006-01-08 06:00:00,9.05,93.745,0.0,0.0
2006-01-08 07:00:00,9.1,94.24,0.0,1.6666666666666667
2006-01-08 08:00:00,9.149999999999999,95.19,0.0,1130.8333333333333
2006-01-08 09:00:00,9.149999999999999,96.155,0.0,2323.333333333333
